timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
3788.2207,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.2375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.2542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.2708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.2874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.3041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.3208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.3375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.3541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.3709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.3875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.4041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.4208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.4375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.4541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.4707,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.4874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.5042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.5209,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.5375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.5542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.5709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.5879,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.6041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.6208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.6374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.6542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.6708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.6875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.7041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.7208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.7374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.7541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.7710,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.7876,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.8041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.8208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.8375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.8541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.8708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.8875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.9041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.9208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.9375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.9541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.9709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3788.9875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.0041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
